ID_RF,Descripcion,MoSCoW,Kano,Valor_de_negocio,Urgencia_temporal,Reduccion_de_riesgo,Tamano_o_esfuerzo,WSJF,Nota_fuente
RF-AUT-01,El sistema deberá permitir iniciar y cerrar sesión mediante credenciales individuales no biométricas.,Must,Básico,10,10,9,3,9.67,WSJF conservado del archivo publicado
RF-AUT-02,"El sistema deberá autorizar cada operación según el rol Administrador, Recepción o Instructor y denegar por defecto las no asignadas.",Must,Básico,9,8,9,5,5.2,WSJF conservado del archivo publicado
RF-AUT-03,"El sistema deberá registrar autor, fecha, acción y valores anterior/nuevo para pagos, precios, inventario, membresías y permisos.",Should,Desempeño,,,,,,RF Should: MoSCoW/Kano conservados; WSJF no publicado en la tabla vigente
RF-CLI-01,"El sistema deberá registrar un cliente con código interno, nombre de uso y un medio de contacto, sin salud, biometría, dirección ni imagen corporal.",Must,Desempeño,9,8,7,4,6.0,WSJF conservado del archivo publicado
RF-CLI-02,"El sistema deberá buscar clientes por código, nombre normalizado o contacto y mostrar membresía, último pago, asistencia y novedades según permisos.",Must,Desempeño,8,7,6,3,7.0,WSJF conservado del archivo publicado
RF-CLI-03,El sistema deberá actualizar o reactivar un registro existente y advertir coincidencias antes de crear otro cliente.,Must,Desempeño,7,6,6,4,4.75,WSJF conservado del archivo publicado
RF-MEM-01,"El sistema deberá administrar nombre, duración, precio, vigencia y estado de planes y promociones.",Must,Desempeño,8,7,7,5,4.4,WSJF conservado del archivo publicado
RF-MEM-02,El sistema deberá activar o renovar una membresía calculando inicio y vencimiento desde un plan vigente y un pago confirmado.,Must,Básico,10,9,8,4,6.75,WSJF conservado del archivo publicado
RF-MEM-03,"El sistema deberá mostrar estado, plan, fecha de inicio y vencimiento de la membresía.",Must,Básico,8,7,6,3,7.0,WSJF conservado del archivo publicado
RF-MEM-04,"El sistema deberá listar diariamente membresías que vencen en los próximos tres días y las vencidas, sin enviar mensajes externos automáticamente.",Must,Desempeño,7,7,7,4,5.25,WSJF conservado del archivo publicado
RF-PAG-01,"El sistema deberá registrar monto, concepto, medio, referencia y fecha de un pago, y generar un comprobante interno.",Must,Básico,10,9,8,4,6.75,WSJF conservado del archivo publicado
RF-PAG-02,"El sistema deberá permitir confirmar, rechazar o corregir un pago pendiente conservando motivo y auditoría.",Should,Desempeño,,,,,,RF Should: MoSCoW/Kano conservados; WSJF no publicado en la tabla vigente
RF-ASI-01,"El sistema deberá registrar una asistencia no biométrica en una acción tras validar identidad operativa y vigencia, o documentar una excepción autorizada.",Must,Básico,9,8,7,4,6.0,WSJF conservado del archivo publicado
RF-ASI-02,"El sistema deberá filtrar asistencias por cliente, fecha y turno, y mostrar conteos operativos.",Must,Desempeño,7,6,5,3,6.0,WSJF conservado del archivo publicado
RF-INV-01,"El sistema deberá registrar productos con código, nombre, precio, unidad, stock mínimo y estado.",Must,Desempeño,8,6,6,4,5.0,WSJF conservado del archivo publicado
RF-INV-02,"El sistema deberá registrar entradas y ajustes con cantidad, motivo, responsable y saldo resultante.",Must,Desempeño,8,7,8,5,4.6,WSJF conservado del archivo publicado
RF-VEN-01,"El sistema deberá registrar una venta con ítems y medio de pago, y descontar existencias en la misma transacción.",Must,Básico,9,8,7,4,6.0,WSJF conservado del archivo publicado
RF-INV-03,"El sistema deberá listar productos en o bajo stock mínimo y resumir entradas, salidas y ventas por período.",Should,Desempeño,,,,,,RF Should: MoSCoW/Kano conservados; WSJF no publicado en la tabla vigente
RF-CAJ-01,"El sistema deberá calcular pagos y ventas por medio, comparar valores declarados y registrar diferencias y entrega de turno.",Must,Desempeño,8,8,8,5,4.8,WSJF conservado del archivo publicado
RF-NOV-01,"El sistema deberá crear una novedad con categoría, detalle mínimo, responsable, vencimiento y estados pendiente, en proceso, resuelta o cancelada.",Must,Desempeño,6,6,7,4,4.75,WSJF conservado del archivo publicado
RF-INS-01,"El sistema deberá registrar turnos, capacidad, disponibilidad y novedades operativas del instructor, sin datos de salud.",Should,Desempeño,,,,,,RF Should: MoSCoW/Kano conservados; WSJF no publicado en la tabla vigente
RF-RUT-01,"El sistema deberá crear una rutina con objetivo operativo, ejercicios, series, repeticiones, descanso y días, y asignarla a un cliente sintético o autorizado.",Must,Básico,8,7,6,5,4.2,WSJF conservado del archivo publicado
RF-RUT-02,El sistema deberá crear una nueva versión al modificar ejercicios o parámetros y conservar las versiones anteriores en solo lectura.,Must,Desempeño,7,6,6,4,4.75,WSJF conservado del archivo publicado
RF-RUT-03,"El sistema deberá registrar fecha, cumplimiento de ejercicios, repeticiones y observación operativa, excluyendo diagnósticos, lesiones, peso y medidas reales.",Should,Desempeño,,,,,,RF Should: MoSCoW/Kano conservados; WSJF no publicado en la tabla vigente
RF-REP-01,"El sistema deberá mostrar indicadores filtrables de membresías, pagos, asistencias, ventas, caja, inventario y novedades, con exportación CSV.",Should,Desempeño,,,,,,RF Should: MoSCoW/Kano conservados; WSJF no publicado en la tabla vigente
